?ID_Shop;Age;FLAG_RESIDENCIAL_PHONE;AREA_CODE_RESIDENCIAL_PHONE;PAYMENT_DAY;SHOP_RANK;MONTHS_IN_RESIDENCE;FLAG_MOTHERS_NAME;FLAG_FATHERS_NAME;FLAG_RESIDENCE_TOWN_WORKING_TOWN;FLAG_RESIDENCE_STATE_WORKING_STATE;MONTHS_IN_THE_JOB;MATE_INCOME;FLAG_RESIDENCIAL_ADDRESS_POSTAL_ADDRESS;PERSONAL_REFERENCE_1;PERSONAL_REFERENCE_2;PERSONAL_NET_INCOME;QUANT_ADDITIONAL_CARDS_IN_THE_APPLICATION;TARGET_LABEL_BAD;Sex_Female;Marital_Status_C;Marital_Status_D;Marital_Status_O;Marital_Status_S;RESIDENCE_TYPE_A;RESIDENCE_TYPE_C;RESIDENCE_TYPE_O;PROFESSION_CODE_0;PROFESSION_CODE_1;PROFESSION_CODE_2;PROFESSION_CODE_3;PROFESSION_CODE_4;PROFESSION_CODE_5;PROFESSION_CODE_6;PROFESSION_CODE_7;PROFESSION_CODE_8
22;44;0;31;12;0;12;1;1;0;1;48;0.0;1;4;5;300.0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
15;18;1;31;20;0;216;1;1;1;1;12;0.0;1;4;6;300.0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
24;22;1;31;8;0;48;1;0;1;1;12;0.0;1;6;14;229.0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
12;47;0;31;25;0;180;1;1;0;1;24;0.0;1;4;25;304.0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
16;28;1;31;25;0;12;1;1;1;1;12;0.0;1;23;18;250.0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
24;26;0;31;28;0;180;1;1;0;1;0;0.0;1;6;3;800.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
55;22;1;31;12;0;0;1;1;1;1;48;0.0;1;13;9;410.0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
6;21;1;23;28;0;24;1;1;1;1;12;800.0;1;19;20;248.0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
3;27;1;31;20;0;0;1;1;1;1;0;0.0;1;5;6;1000.0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
23;57;1;31;12;0;24;1;1;0;1;96;0.0;1;16;5;856.0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
25;53;1;31;18;0;60;1;1;0;1;24;0.0;1;3;12;738.0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
12;32;1;31;12;0;24;1;1;0;1;0;0.0;1;20;9;700.0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
7;21;1;1;3;0;180;1;1;0;0;24;0.0;0;14;20;347.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
24;36;1;31;12;0;120;1;1;1;1;36;0.0;1;6;9;1987.0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
7;26;1;27;1;0;240;1;1;0;1;12;0.0;1;7;4;1000.0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
19;49;0;50;20;0;120;1;1;0;1;0;0.0;1;25;21;225.0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
55;44;1;31;8;0;72;1;1;1;1;12;0.0;1;6;4;370.0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
55;46;0;50;12;0;360;1;1;0;1;120;0.0;1;11;14;520.0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
24;20;1;31;28;0;24;1;1;1;1;12;0.0;1;6;8;500.0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
9;26;1;5;18;0;264;1;1;0;1;36;0.0;1;10;19;490.0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
1;17;0;50;12;0;12;1;1;0;1;12;0.0;1;7;4;426.0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
19;20;1;31;28;0;120;1;1;0;1;0;0.0;1;25;21;500.0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;46;1;31;8;0;48;1;1;1;1;192;0.0;1;14;7;3100.0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
25;41;1;50;8;0;12;1;1;1;1;120;0.0;1;7;7;1175.0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
12;20;1;50;12;0;12;1;1;1;1;24;0.0;1;22;8;285.0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
20;64;1;50;3;0;12;1;1;1;1;60;0.0;1;6;6;700.0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
15;71;1;31;18;0;96;1;1;0;1;12;0.0;1;7;6;180.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
14;33;1;31;12;0;396;1;1;1;1;48;0.0;1;5;6;260.0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
1;46;1;31;8;0;72;1;1;0;1;12;0.0;1;4;9;442.0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
12;24;0;31;20;0;240;1;1;1;1;12;0.0;1;18;7;313.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
12;23;0;31;18;0;276;1;1;1;1;0;0.0;1;24;8;280.0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
6;36;0;50;8;0;240;1;1;0;1;12;0.0;1;10;11;250.0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
3;40;1;31;28;0;24;1;1;1;1;0;0.0;1;7;7;1000.0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
55;23;1;50;12;0;36;1;1;1;1;24;0.0;1;16;13;390.0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
12;27;1;31;23;0;24;1;1;1;1;12;0.0;1;22;8;350.0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
24;31;0;50;28;0;168;1;1;1;1;72;0.0;1;14;4;451.0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
12;24;1;31;1;0;96;1;1;0;1;0;0.0;1;5;21;700.0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
23;30;1;31;12;0;240;1;1;0;1;60;0.0;1;6;5;300.0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20;21;1;31;8;0;252;1;1;1;1;36;0.0;1;5;5;295.0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0
55;39;1;31;18;0;24;1;1;1;1;0;0.0;1;20;13;220.0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
22;55;1;31;8;0;72;1;1;0;1;12;0.0;1;9;15;1174.0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
7;26;1;5;20;0;84;1;1;0;1;12;0.0;1;14;18;195.0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
11;26;0;31;12;0;120;1;1;1;1;0;0.0;1;10;10;2701.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;66;1;31;12;0;48;1;1;1;1;288;0.0;1;9;7;365.0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
20;23;0;50;3;0;12;1;1;1;1;24;0.0;1;4;3;355.0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
66;31;1;31;3;0;360;1;1;0;1;0;1200.0;1;23;25;840.0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
3;18;1;50;12;0;96;1;1;0;1;12;0.0;1;5;5;350.0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
24;43;1;31;18;0;96;1;1;0;1;240;0.0;1;6;6;350.0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
25;34;0;31;28;0;120;1;1;1;1;24;0.0;1;4;5;500.0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
24;23;1;50;18;0;276;1;1;0;1;24;0.0;1;9;7;300.0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
9;40;1;5;25;0;0;1;1;1;1;24;0.0;1;20;16;331.0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
6;35;0;50;25;0;12;1;1;0;1;36;0.0;1;10;23;400.0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
23;19;1;31;12;0;12;1;0;1;1;12;0.0;1;7;3;372.0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
20;42;1;31;12;0;60;1;1;1;1;36;0.0;1;6;7;472.0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
19;32;1;31;1;0;120;1;1;1;1;12;0.0;1;10;4;733.0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
23;20;1;31;8;0;24;1;1;1;1;12;0.0;1;4;12;545.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
3;53;1;31;18;0;240;1;1;0;1;36;0.0;1;9;10;300.0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;23;1;31;22;0;72;1;1;0;1;24;0.0;1;5;6;375.0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
55;21;0;31;25;0;216;1;1;0;1;0;0.0;1;6;11;292.0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
55;62;1;31;12;0;300;1;1;0;1;48;0.0;1;13;17;380.0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
25;32;1;31;1;0;96;1;1;1;1;24;0.0;1;7;5;1805.0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
20;19;1;31;12;0;12;1;1;1;1;12;0.0;1;19;6;240.0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
24;21;1;31;8;0;0;1;1;1;1;12;0.0;1;6;3;410.0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
1;38;0;50;12;0;144;1;0;1;1;108;0.0;1;8;7;180.0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
25;45;1;31;18;0;84;1;1;1;1;84;0.0;1;4;4;700.0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
12;19;0;50;18;0;228;1;1;0;1;0;0.0;1;11;5;200.0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
22;18;1;31;12;0;12;1;1;1;1;12;0.0;1;5;5;197.0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1
19;50;1;31;28;0;408;1;1;0;1;0;0.0;1;23;4;2000.0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
