ID_Client,ID_Shop,Sex,Age,AREA_CODE_RESIDENCIAL_PHONE,PAYMENT_DAY,SHOP_RANK,MONTHS_IN_RESIDENCE,MONTHS_IN_THE_JOB,PROFESSION_CODE,MATE_INCOME,PERSONAL_NET_INCOME,QUANT_ADDITIONAL_CARDS_IN_THE_APPLICATION,TARGET_LABEL_BAD,BIN_FLAG_MOTHERS_NAME,BIN_FLAG_FATHERS_NAME,BIN_FLAG_RESIDENCE_TOWN_WORKING_TOWN,BIN_FLAG_RESIDENCE_STATE_WORKING_STATE,BIN_FLAG_RESIDENCIAL_ADDRESS_POSTAL_ADDRESS,CAT_MARITAL_STATUS,CAT_RESIDENCE_TYPE
1,22,1,44,31,12,0,12,48,731,0.0,300.0,0,0,1,1,0,1,1,2,0
2,15,1,18,31,20,0,216,12,853,0.0,300.0,0,0,1,1,1,1,1,0,0
3,24,1,22,31,8,0,48,12,40,0.0,229.0,0,0,1,0,1,1,1,1,0
4,12,1,47,31,25,0,180,24,35,0.0,304.0,0,0,1,1,0,1,1,1,0
5,16,1,28,31,25,0,12,12,24,0.0,250.0,0,0,1,1,1,1,1,0,3
6,24,0,26,31,28,0,180,0,999,0.0,800.0,0,0,1,1,0,1,1,0,0
7,55,1,22,31,12,0,0,48,999,0.0,410.0,0,0,1,1,1,1,1,0,1
8,6,1,21,23,28,0,24,12,40,800.0,248.0,0,0,1,1,1,1,1,1,1
9,3,1,27,31,20,0,0,0,950,0.0,1000.0,0,1,1,1,1,1,1,0,1
10,23,1,57,31,12,0,24,96,13,0.0,856.0,0,0,1,1,0,1,1,1,0
11,25,1,53,31,18,0,60,24,13,0.0,738.0,1,1,1,1,0,1,1,0,0
12,12,1,32,31,12,0,24,0,165,0.0,700.0,0,0,1,1,0,1,1,1,0
13,7,0,21,1,3,0,180,24,514,0.0,347.0,0,0,1,1,0,0,0,0,0
14,24,0,36,31,12,0,120,36,15,0.0,1987.0,1,0,1,1,1,1,1,1,0
15,7,0,26,27,1,0,240,12,26,0.0,1000.0,0,0,1,1,0,1,1,0,0
16,19,1,49,50,20,0,120,0,703,0.0,225.0,0,0,1,1,0,1,1,0,0
17,96,1,18,31,20,0,216,96,60,0.0,145.0,0,0,1,1,1,1,1,0,0
18,55,0,44,31,8,0,72,12,135,0.0,370.0,0,0,1,1,1,1,1,2,0
19,55,1,46,50,12,0,360,120,704,0.0,520.0,0,0,1,1,0,1,1,3,0
20,24,0,20,31,28,0,24,12,999,0.0,500.0,0,1,1,1,1,1,1,0,0
21,9,0,26,5,18,0,264,36,79,0.0,490.0,0,1,1,1,0,1,1,1,2
22,1,0,17,50,12,0,12,12,38,0.0,426.0,0,1,1,1,0,1,1,1,1
23,19,1,20,31,28,0,120,0,999,0.0,500.0,0,0,1,1,0,1,1,1,0
24,21,1,46,31,8,0,48,192,999,0.0,3100.0,0,0,1,1,1,1,1,0,1
25,25,1,41,50,8,0,12,120,34,0.0,1175.0,0,0,1,1,1,1,1,1,0
26,12,0,20,50,12,0,12,24,39,0.0,285.0,0,1,1,1,1,1,1,0,0
27,20,1,64,50,3,0,12,60,72,0.0,700.0,1,1,1,1,1,1,1,4,1
28,15,1,71,31,18,0,96,12,13,0.0,180.0,0,0,1,1,0,1,1,4,1
29,14,1,33,31,12,0,396,48,26,0.0,260.0,0,0,1,1,1,1,1,0,0
30,1,1,46,31,8,0,72,12,801,0.0,442.0,0,0,1,1,0,1,1,0,0
31,12,0,24,31,20,0,240,12,30,0.0,313.0,0,0,1,1,1,1,1,1,0
32,12,1,23,31,18,0,276,0,999,0.0,280.0,0,1,1,1,1,1,1,0,0
33,6,1,36,50,8,0,240,12,713,0.0,250.0,0,0,1,1,0,1,1,1,0
34,3,1,40,31,28,0,24,0,305,0.0,1000.0,0,0,1,1,1,1,1,0,0
35,55,1,23,50,12,0,36,24,653,0.0,390.0,0,0,1,1,1,1,1,0,0
36,12,1,27,31,23,0,24,12,72,0.0,350.0,0,0,1,1,1,1,1,0,0
37,25,0,18,31,23,0,228,0,950,0.0,800.0,0,1,1,1,0,1,1,0,0
38,24,1,31,50,28,0,168,72,801,0.0,451.0,0,0,1,1,1,1,1,2,0
39,12,1,24,31,1,0,96,0,261,0.0,700.0,0,1,1,1,0,1,1,0,0
40,23,1,30,31,12,0,240,60,43,0.0,300.0,0,1,1,1,0,1,1,2,3
41,20,1,21,31,8,0,252,36,40,0.0,295.0,0,0,1,1,1,1,1,0,2
42,55,1,39,31,18,0,24,0,205,0.0,220.0,0,0,1,1,1,1,1,0,1
43,22,0,55,31,8,0,72,12,13,0.0,1174.0,0,0,1,1,0,1,1,1,0
44,7,0,26,5,20,0,84,12,301,0.0,195.0,0,1,1,1,0,1,1,0,0
45,11,0,26,31,12,0,120,0,999,0.0,2701.0,0,0,1,1,1,1,1,4,0
